b,Banana,105.0,0.4,27.0,1.3
b,Chicken Breast,165.0,3.6,0.0,31.0
b,Yogurt,59.0,0.4,3.6,10.0
b,Bread,80.0,1.0,15.0,3.0
b,Butter,100.0,11.0,0.0,0.0
b,Egg,78.0,5.0,0.6,6.0
b,Tomato Sauce,90.0,2.0,14.0,3.0
b,Peanut Butter,188.0,16.0,6.0,8.0
b,Milk,103.0,2.4,12.0,8.0
b,Rice,200.0,0.5,45.0,4.0
b,Hot Dog,150.0,13.0,5.0,6.0
b,Cheese,120.0,10.0,1.0,7.0
b,Apple,95.0,0.3,25.0,0.5
b,Mustard,10.0,0.5,0.5,0.5
b,Ham,70.0,3.0,1.0,10.0
b,Pasta,210.0,1.3,42.0,7.0
b,Hot Dog Bun,120.0,2.0,22.0,4.0
b,Olive Oil,120.0,14.0,0.0,0.0
r,Hot Dog-Bun-Mustard,Hot Dog,1.0,Hot Dog Bun,1.0,Mustard,1.5
