
# Basic Foods
b,Salmon,208.0,13.0,0.0,20.0
b,Tuna,132.0,0.5,0.0,28.0
b,Shrimp,99.0,1.0,0.2,24.0
b,Chicken Breast,165.0,3.6,0.0,31.0
b,Olive Oil,119.0,13.5,0.0,0.0
b,Garlic,4.0,0.0,1.0,0.2
b,Tomato,22.0,0.2,5.0,1.1
b,Cucumber,8.0,0.1,2.0,0.3
b,Red Onion,16.0,0.0,4.0,0.4
b,Feta Cheese,75.0,6.0,1.0,4.0
b,Olives,40.0,4.0,2.0,0.3
b,Spinach,7.0,0.1,1.1,0.9
b,Zucchini,20.0,0.2,4.0,1.0
b,Eggplant,25.0,0.1,6.0,1.0
b,Bell Pepper,30.0,0.2,6.0,1.0
b,Lemon,12.0,0.0,4.0,0.2
b,Basil,1.0,0.0,0.1,0.1
b,Pasta,200.0,1.0,42.0,7.0
b,Parmesan Cheese,110.0,7.0,1.0,10.0
b,Whole Wheat Bread,70.0,1.0,13.0,3.0

# Recipes
r,Greek Salad,Tomato,2.0,Cucumber,1.0,Red Onion,0.5,Feta Cheese,1.0,Olives,0.5,Olive Oil,1.0,Basil,0.2,Lemon,0.5
r,Grilled Salmon with Zucchini,Salmon,1.0,Zucchini,1.0,Olive Oil,1.0,Garlic,0.5,Lemon,0.5
r,Shrimp Pasta,Shrimp,1.0,Pasta,1.0,Olive Oil,1.0,Garlic,0.5,Basil,0.2,Parmesan Cheese,0.5
r,Ratatouille,Eggplant,1.0,Bell Pepper,1.0,Tomato,2.0,Zucchini,1.0,Olive Oil,1.0,Garlic,0.5,Basil,0.2
r,Chicken Spinach Salad,Chicken Breast,1.0,Spinach,2.0,Olive Oil,1.0,Lemon,0.5,Basil,0.2
r,Mediterranean Sandwich,Whole Wheat Bread,2.0,Chicken Breast,1.0,Tomato,1.0,Cucumber,0.5,Feta Cheese,0.5,Olive Oil,0.5
