
b,Bread,80.0,1.0,15.0,3.0
b,Butter,100.0,11.0,0.0,0.0
b,Cheese,120.0,10.0,1.0,7.0
b,Ham,70.0,3.0,1.0,10.0
b,Chicken Breast,165.0,3.6,0.0,31.0
b,Rice,200.0,0.5,45.0,4.0
b,Pasta,210.0,1.3,42.0,7.0
b,Tomato Sauce,90.0,2.0,14.0,3.0
b,Olive Oil,120.0,14.0,0.0,0.0
b,Egg,78.0,5.0,0.6,6.0
b,Milk,103.0,2.4,12.0,8.0
b,Apple,95.0,0.3,25.0,0.5
b,Banana,105.0,0.4,27.0,1.3
b,Peanut Butter,188.0,16.0,6.0,8.0
b,Yogurt,59.0,0.4,3.6,10.0

r,Sandwich,Bread,2.0,Butter,1.0,Cheese,1.0,Ham,1.0
r,Grilled Cheese,Bread,2.0,Butter,1.0,Cheese,2.0
r,Chicken Rice,Chicken Breast,1.0,Rice,1.5,Olive Oil,0.5
r,Pasta Marinara,Pasta,1.0,Tomato Sauce,1.0,Olive Oil,0.5
r,Chicken Pasta,Chicken Breast,1.0,Pasta,1.0,Tomato Sauce,1.0
r,Breakfast,Egg,2.0,Bread,1.0,Butter,0.5
r,Smoothie,Milk,1.0,Banana,1.0,Peanut Butter,0.5,Yogurt,1.0
r,Fruit Snack,Apple,1.0,Banana,1.0,Yogurt,1.0

r,Deluxe Sandwich,Sandwich,1.0,Cheese,1.0,Tomato Sauce,0.5
r,Protein Meal,Chicken Rice,1.0,Egg,2.0
r,Italian Combo,Chicken Pasta,1.0,Pasta Marinara,1.0
r,Big Breakfast,Breakfast,1.0,Milk,1.0,Apple,1.0
r,Energy Smoothie,Smoothie,1.0,Banana,1.0,Peanut Butter,0.5
